id,domain,slug,status,language,province,region,subject,target,keyword,title,description,search_intent,summary,lesson_focus,lesson_method,lesson_result,tone,template
1,https://kimstutoring.co.kr,dongducheon-elementary-english,publish,ko,경기도,동두천,영어,초등학생,동두천 초등학생 영어과외,동두천 초등학생 영어과외,"동두천 초등학생 영어 과외 수업은 정해진 진도보다 현재 실력과 배우는 이유를 중요하게 봅니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 기초 어휘와 문장 이해, 읽기 학습을 학생의… 방식으로 수업하고 있습니다.",초등학생 수준에 맞춰 영어 기초와 꾸준한 학습 습관을 기르는 1:1 온라인 과외 찾기,핵심 고민은 “기초 어휘가 부족하고 짧은 문장의 뜻을 이해하거나 꾸준히 읽는 데 어려움이 있음”입니다.,"기초 어휘, 문장 이해, 짧은 글 읽기, 학습 습관","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 기초 어휘와 문장 이해, 읽기 학습을 학생의 수준과 학습 속도에 맞춰 지도",익숙한 어휘로 짧은 문장의 뜻을 파악하고 스스로 읽고 복습하는 습관 형성,친근형,elementary_english
2,https://kimstutoring.co.kr,dongducheon-middle-english,publish,ko,경기도,동두천,영어,중학생,동두천 중학생 영어과외,동두천 중학생 영어과외,"중학생 영어 과외 공부를 다시 시작하려는 분께 동두천 1:1 수업이 맞는 출발점을 찾아드립니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 어휘·문법·독해를 기본으로 학교별 내신과… 방식으로 수업하고 있습니다.",중학생 영어 문법과 독해를 보완하고 학교별 내신과 서술형 및 수행평가를 준비하는 온라인 과외 찾기,핵심 고민은 “어휘와 문법을 배워도 지문에 적용하기 어렵고 서술형 답안과 수행평가 준비가 막막함”입니다.,"어휘, 문법, 독해, 학교별 내신, 서술형, 수행평가","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 어휘·문법·독해를 기본으로 학교별 내신과 서술형, 수행평가까지 학생의 취약 부분에 맞춰 지도",문법 근거를 설명하며 지문을 읽고 학교 평가 기준에 맞춰 답안을 작성하는 능력 향상,코칭형,middle_english
3,https://kimstutoring.co.kr,dongducheon-high-english,publish,ko,경기도,동두천,영어,고등학생,동두천 고등학생 영어과외,동두천 고등학생 영어과외,"동두천에서 배우는 고등학생 영어 과외, 실제로 쓰려는 상황에 맞춰 수업 내용을 정합니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 어휘·구문독해부터 학교별 내신, 모의고사와 수능… 방식으로 수업하고 있습니다.",고등학생 영어 내신과 모의고사 및 수능 준비를 현재 수준에 맞춰 병행하는 온라인 과외 찾기,핵심 고민은 “긴 문장의 구조를 파악하기 어렵고 내신과 모의고사 지문을 읽는 데 시간이 오래 걸림”입니다.,"어휘, 구문독해, 학교별 내신, 모의고사, 수능","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 어휘·구문독해부터 학교별 내신, 모의고사와 수능 대비까지 현재 실력과 목표에 맞춰 지도",복잡한 문장의 구조를 파악하고 지문의 근거를 바탕으로 답을 선택하는 독해 능력 향상,전문형,high_english
4,https://kimstutoring.co.kr,dongducheon-elementary-math,publish,ko,경기도,동두천,수학,초등학생,동두천 초등학생 수학과외,동두천 초등학생 수학과외,"초등학생 수학 과외 공부를 다시 시작하려는 분께 동두천 1:1 수업이 맞는 출발점을 찾아드립니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 연산과 기초개념을 탄탄히 다지고 문제를 이해하는… 방식으로 수업하고 있습니다.",초등학생 수학 연산과 기초개념을 다지고 문제 이해와 풀이 습관을 기르는 온라인 과외 찾기,핵심 고민은 “계산 실수가 반복되고 문장형 문제에서 무엇을 구해야 하는지 파악하기 어려움”입니다.,"연산, 기초개념, 문제 이해, 풀이 습관","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 연산과 기초개념을 탄탄히 다지고 문제를 이해하는 과정과 올바른 풀이 습관을 학생 수준에 맞춰 지도",계산 과정을 점검하고 문제의 조건을 이해하며 풀이 순서를 정리하는 습관 형성,친근형,elementary_math
5,https://kimstutoring.co.kr,dongducheon-middle-math,publish,ko,경기도,동두천,수학,중학생,동두천 중학생 수학과외,동두천 중학생 수학과외,"중학생 수학 과외 공부를 다시 시작하려는 분께 동두천 1:1 수업이 맞는 출발점을 찾아드립니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 개념 이해와 유형별 문제풀이를 연결하고 학교별… 방식으로 수업하고 있습니다.",중학생 수학 개념과 유형별 문제풀이를 연결하고 내신 및 서술형을 준비하는 온라인 과외 찾기,핵심 고민은 “개념을 외워도 문제 유형이 바뀌면 적용하기 어렵고 같은 오답과 풀이 과정 누락이 반복됨”입니다.,"개념, 유형별 문제풀이, 학교별 내신, 서술형, 오답관리","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 개념 이해와 유형별 문제풀이를 연결하고 학교별 내신, 서술형, 오답관리까지 취약 단원에 맞춰 지도",문제에 맞는 개념을 선택하고 풀이 근거를 순서대로 쓰며 반복되는 실수를 줄이는 능력 향상,코칭형,middle_math
6,https://kimstutoring.co.kr,dongducheon-high-math,publish,ko,경기도,동두천,수학,고등학생,동두천 고등학생 수학과외,동두천 고등학생 수학과외,"동두천에서 고등학생 수학 과외 수업을 찾고 계신다면 지금 필요한 내용부터 시작할 수 있습니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 개념과 유형별 문제풀이부터 학교별 내신,… 방식으로 수업하고 있습니다.",고등학생 수학 취약단원을 보완하면서 내신과 모의고사 및 수능을 준비하는 온라인 과외 찾기,핵심 고민은 “개념 사이의 연결이 약하고 복합 문제의 접근 방법을 찾기 어려우며 취약단원에서 오답이 반복됨”입니다.,"개념, 유형별 문제풀이, 학교별 내신, 모의고사, 수능, 취약단원, 오답분석","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 개념과 유형별 문제풀이부터 학교별 내신, 모의고사와 수능 대비, 취약단원 및 오답분석까지 목표에 맞춰 지도",취약단원의 개념을 연결하고 문제 조건에 맞는 풀이 전략을 선택하며 오답 원인을 스스로 설명하는 능력 향상,전문형,high_math
7,https://kimstutoring.co.kr,dongducheon-elementary-korean,publish,ko,경기도,동두천,국어,초등학생,동두천 초등학생 국어과외,동두천 초등학생 국어과외,"동두천에서 초등학생 국어 과외 수업을 찾고 계신다면 지금 필요한 내용부터 시작할 수 있습니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 어휘와 독해를 바탕으로 글의 내용을 이해하고… 방식으로 수업하고 있습니다.",초등학생의 국어 기초와 문해력을 잡아줄 1:1 국어과외 탐색,핵심 고민은 “글을 읽어도 내용을 정확히 이해하지 못하거나 어휘력이 부족해 문제의 뜻을 파악하는 데 어려움”입니다.,"어휘, 독해, 문장 이해, 글의 중심내용 파악, 기초 문해력, 글쓰기, 학습 습관","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 어휘와 독해를 바탕으로 글의 내용을 이해하고 자신의 생각을 표현하는 힘을 학생의 수준과 학습 속도에 맞춰 지도","글을 읽고 핵심 내용을 파악하는 힘을 기르고, 국어뿐 아니라 다른 과목의 문제를 이해하는 데 필요한 기초 문해력과 학습 습관 형성",친근형,elementary_korean
8,https://kimstutoring.co.kr,dongducheon-middle-korean,publish,ko,경기도,동두천,국어,중학생,동두천 중학생 국어과외,동두천 중학생 국어과외,"중학생 국어 과외 공부를 다시 시작하려는 분께 동두천 1:1 수업이 맞는 출발점을 찾아드립니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 문학·비문학 독해와 문법을 기본으로 학교별… 방식으로 수업하고 있습니다.",학교 내신과 국어 기본기를 함께 준비할 1:1 중등 국어과외 탐색,"핵심 고민은 “문학과 비문학 지문을 감으로 풀거나 문법 개념이 부족하고, 학교 시험의 서술형·수행평가 대비가 어려움”입니다.","문학, 비문학, 문법, 어휘, 학교별 내신, 서술형, 수행평가, 오답관리","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 문학·비문학 독해와 문법을 기본으로 학교별 내신, 서술형과 수행평가까지 학생의 취약 부분에 맞춰 지도","지문을 근거로 읽고 문제를 해결하는 방법을 익히며, 부족한 영역을 파악해 내신과 고등 국어 학습에 필요한 기본기 강화",코칭형,middle_korean
9,https://kimstutoring.co.kr,dongducheon-high-korean,publish,ko,경기도,동두천,국어,고등학생,동두천 고등학생 국어과외,동두천 고등학생 국어과외,"동두천에서 고등학생 국어 과외 수업을 찾고 계신다면 지금 필요한 내용부터 시작할 수 있습니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 문학과 독서의 지문 분석부터 학교별 내신,… 방식으로 수업하고 있습니다.",내신과 모의고사·수능을 함께 대비할 1:1 고등 국어과외 탐색,"핵심 고민은 “긴 지문의 핵심을 빠르게 파악하기 어렵거나 문학·독서·문법 영역별 편차가 크고, 모의고사에서 시간 관리와…”입니다.","문학, 독서, 화법과 언어, 작문, 학교별 내신, 모의고사, 수능, 취약영역, 오답분석","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 문학과 독서의 지문 분석부터 학교별 내신, 모의고사와 수능 대비, 취약영역 및 오답분석까지 현재 실력과 목표에 맞춰 지도","지문을 분석하는 기준과 문제 접근 방법을 익히고, 취약영역과 반복되는 오답을 점검하면서 내신·모의고사·수능 학습의 방향을 구체화",전문형,high_korean
10,https://kimstutoring.co.kr,pocheon-elementary-english,publish,ko,경기도,포천,영어,초등학생,포천 초등학생 영어과외,포천 초등학생 영어과외,"포천 초등학생 영어 과외 수업은 정해진 진도보다 현재 실력과 배우는 이유를 중요하게 봅니다. 지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 기초 어휘와 문장 이해, 읽기 학습을 학생의… 방식으로 수업하고 있습니다.",초등학생 수준에 맞춰 영어 기초와 꾸준한 학습 습관을 기르는 1:1 온라인 과외 찾기,핵심 고민은 “기초 어휘가 부족하고 짧은 문장의 뜻을 이해하거나 꾸준히 읽는 데 어려움이 있음”입니다.,"기초 어휘, 문장 이해, 짧은 글 읽기, 학습 습관","지역과 일정에 따라 1:1 방문수업 또는 화상수업으로 진행하며, 기초 어휘와 문장 이해, 읽기 학습을 학생의 수준과 학습 속도에 맞춰 지도",익숙한 어휘로 짧은 문장의 뜻을 파악하고 스스로 읽고 복습하는 습관 형성,친근형,elementary_english
